,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
274,2057-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-18.0,1915.0,-158.0
275,2057-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-17.0,1861.0,-175.0
276,2057-12-01,Coverage_OUT_CA_PGE_BAY[Percent],-49.0,1680.0,-224.0
277,2058-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-26.0,1509.0,-250.0
278,2058-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-3.0,1374.0,-253.0
279,2058-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-42.0,1227.0,-295.0
280,2058-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-54.0,964.0,-349.0
281,2058-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-61.0,661.0,-410.0
282,2060-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-47.0,-421.0,-457.0
283,2060-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-44.0,-548.0,-501.0
284,2060-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-53.0,-686.0,-554.0
285,2060-10-01,Coverage_OUT_CA_PGE_BAY[Percent],3.0,-643.0,-551.0
286,2061-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-3.0,-779.0,-554.0
287,2061-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-23.0,-802.0,-577.0
288,2064-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-1.0,-210.0,-578.0
289,2064-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-46.0,-287.0,-624.0
290,2064-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-41.0,-421.0,-665.0
291,2064-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-38.0,-450.0,-703.0
292,2064-12-01,Coverage_OUT_CA_PGE_BAY[Percent],-31.0,-502.0,-734.0
293,2065-01-01,Coverage_OUT_CA_PGE_BAY[Percent],-32.0,-582.0,-766.0
294,2065-02-01,Coverage_OUT_CA_PGE_BAY[Percent],-32.0,-741.0,-798.0
295,2065-03-01,Coverage_OUT_CA_PGE_BAY[Percent],-24.0,-808.0,-822.0
296,2065-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-56.0,-862.0,-878.0
297,2065-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-63.0,-958.0,-941.0
298,2065-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-54.0,-1136.0,-995.0
299,2065-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-45.0,-1518.0,-1040.0
